vehicle,stock,price,path
"1954 Chevrolet 3100","1837-FL","34000","/cars/1954-chevrolet-3100/"
"1955 Cadillac Deville Convertible","1785-FL","53000","/cars/1955-cadillac-deville-convertible/"
"1955 Chevrolet 210","1888-FL","43000","/cars/1955-chevrolet-210/"
"1955 Chevrolet 210","1964-FL","109000","/cars/1955-chevrolet-210-1964-fl/"
"1955 Chevrolet 3100","1884-FL","42000","/cars/1955-chevrolet-3100/"
"1955 Chevrolet Bel Air","2140-FL","42950","/cars/1955-chevrolet-bel-air/"
"1955 Chevrolet Bel Air","1838-FL","79000","/cars/1955-chevrolet-bel-air-1838-fl/"
"1955 Chevrolet Belair","2025-FL","70000","/cars/1955-chevrolet-belair/"
"1955 Ford F100","1951-FL","29950","/cars/1955-ford-f100/"
"1956 Chevrolet Bel Air","2128-FL","17500","/cars/1956-chevrolet-bel-air/"
"1957 Chevrolet 150","1881-FL","37000","/cars/1957-chevrolet-150/"
"1957 Chevrolet Bel Air","2087-FL","27900","/cars/1957-chevrolet-bel-air/"
"1957 Pontiac Starchief","1781-FL","48000","/cars/1957-pontiac-starchief/"
"1960 Chevrolet Corvette","1941-FL","76500","/cars/1960-chevrolet-corvette/"
"1960 Chevrolet Impala","1984-FL","53950","/cars/1960-chevrolet-impala/"
"1960 Chevrolet Impala","1945-FL","59950","/cars/1960-chevrolet-impala-1945-fl/"
"1961 Chevrolet Impala","1801-FL","47000","/cars/1961-chevrolet-impala/"
"1961 Ford Thunderbird","1995-FL","18800","/cars/1961-ford-thunderbird/"
"1962 Chevrolet Corvette","1908-FL","62950","/cars/1962-chevrolet-corvette/"
"1962 Chevrolet Impala","1939-FL","45950","/cars/1962-chevrolet-impala/"
